"Order","Family","Genus","Species","Cycle","SocialGrpSize","TrophicLevel"
"Xenarthra","Myrmecophagidae","Tamandua","Tamandua tetradactyla","Crepuscular",1,"Carnivore"
"Rodentia","Sciuridae","Tamias","Tamias ruficaudus","Diurnal",1,"Omnivore"
"Rodentia","Sciuridae","Tamias","Tamias rufus","Diurnal",4.5,"Herbivore"
"Rodentia","Sciuridae","Tamiasciurus","Tamiasciurus douglasii","Diurnal",1,"Omnivore"
"Primates","Cercopithecidae","Theropithecus","Theropithecus gelada","Diurnal",10,"Herbivore"
"Diprotodontia","Macropodidae","Thylogale","Thylogale stigmatica","Nocturnal",1,"Herbivore"
"Xenarthra","Dasypodidae","Tolypeutes","Tolypeutes matacus","Crepuscular",1,"Omnivore"
"Artiodactyla","Bovidae","Tragelaphus","Tragelaphus angasii","Crepuscular",15.5,"Herbivore"
"Artiodactyla","Bovidae","Tragelaphus","Tragelaphus buxtoni","Crepuscular",15,"Herbivore"
"Artiodactyla","Bovidae","Tragelaphus","Tragelaphus eurycerus","Crepuscular",13.5,"Herbivore"
"Artiodactyla","Bovidae","Tragelaphus","Tragelaphus scriptus","Crepuscular",1,"Herbivore"
"Artiodactyla","Bovidae","Tragelaphus","Tragelaphus spekii","Crepuscular",6,"Herbivore"
"Artiodactyla","Bovidae","Tragelaphus","Tragelaphus strepsiceros","Diurnal",12,"Herbivore"
"Primates","Lemuridae","Varecia","Varecia variegata","Crepuscular",2.8,"Herbivore"
"Rodentia","Sciuridae","Xerus","Xerus inauris","Diurnal",30,"Herbivore"
"Rodentia","Sciuridae","Xerus","Xerus princeps","Diurnal",2,"Herbivore"
